                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    5 Nov 2022 15:41:05
Satellite-FINCH


      Time (UTCG)             x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)          x (km)          y (km)          z (km)   
5 Nov 2022 16:42:00.000    -2668.147172     5883.289021     2342.085991    -2668.144873     5883.286265     2342.095533     4200.805638     4912.131688     2332.736612     4170.467221     4933.515928     2342.026809     4170.467327     4933.515854     2342.026776     4170.811653     4933.196651     2342.085991     4170.811677     4933.196626     2342.086001     4266.753876     4864.788426     2312.165817     4170.526145     4933.438017     2342.086001     4170.526053     4933.438100     2342.085991    -3698.268727     5296.683982     2342.095866     4200.806151     4912.131767     2332.735522
5 Nov 2022 16:43:00.000    -2642.528046     6048.247926     1911.524552    -2642.526169     6048.245676     1911.534263     4338.369607     4977.913382     1901.870415     4308.649317     5000.001994     1911.466631     4308.649424     5000.001915     1911.466596     4308.986793     4999.689016     1911.524552     4308.986817     4999.688992     1911.524562     4402.949818     4929.039471     1880.634561     4308.697437     4999.938380     1911.524562     4308.697342     4999.938466     1911.524552    -3727.093090     5447.292538     1911.534633     4338.370025     4977.913446     1901.869293
5 Nov 2022 16:44:00.000    -2603.942003     6186.279162     1472.480985    -2603.940557     6186.277430     1472.490821     4456.736712     5021.669657     1462.564808     4427.766104     5044.364901     1472.424581     4427.766211     5044.364818     1472.424545     4428.095131     5044.059609     1472.480985     4428.095155     5044.059585     1472.480996     4519.663034     4971.481361     1440.757862     4427.803206     5044.315867     1472.480996     4427.803109     5044.315955     1472.480985    -3739.426737     5573.797749     1472.491227     4456.737034     5021.669706     1462.563659
5 Nov 2022 16:45:00.000    -2552.795479     6296.657246     1026.902025    -2552.794471     6296.656038     1026.911941     4555.379118     5043.202311     1016.767696     4527.286446     5066.403743     1026.847388     4527.286551     5066.403656     1026.847351     4527.605566     5066.107488     1026.902025     4527.605590     5066.107464     1026.902036     4616.372977     4991.921754      994.486171     4527.312365     5066.369505     1026.902036     4527.312266     5066.369596     1026.902025    -3735.211681     5675.634736     1026.912384     4555.379342     5043.202345     1016.766524
5 Nov 2022 16:46:00.000    -2489.556664     6378.783517      576.764481    -2489.556098     6378.782838      576.774431     4633.857088     5042.412510      566.456859     4606.766726     5066.017428      576.711852     4606.766830     5066.017338      576.711813     4607.074527     5065.731521      576.764481     4607.074550     5065.731498      576.764492     4692.648445     4990.266686      543.799385     4606.781347     5065.998139      576.764492     4606.781247     5065.998231      576.764481    -3714.463955     5752.348827      576.774909     4633.857213     5042.412529      566.455670
5 Nov 2022 16:47:00.000    -2414.752336     6432.189503      124.066242    -2414.752214     6432.189357      124.076181     4691.821087     5019.301343      113.630958     4665.852973     5043.205249      124.015855     4665.853074     5043.205156      124.015815     4666.148092     5042.930956      124.066242     4666.148115     5042.930935      124.066253     4748.149653     4966.521102       90.697839     4665.856231     5043.200995      124.066253     4665.856130     5043.201089      124.066242    -3677.273615     5803.597747      124.076694     4691.821112     5019.301347      113.629757
5 Nov 2022 16:48:00.000    -2328.964427     6456.539722     -329.182846    -2328.964750     6456.540110     -329.172962     4729.013505     4973.969973     -339.699592     4704.282602     4998.067039     -329.230768     4704.282702     4998.066943     -329.230810     4704.563733     4997.805576     -329.182846     4704.563755     4997.805555     -329.182835     4782.629909     4920.788981     -362.806827     4704.274483     4998.077839     -329.182835     4704.274382     4998.077933     -329.182846    -3623.804442     5829.153345     -329.172417     4729.013431     4973.969961     -339.700800
5 Nov 2022 16:49:00.000    -2232.826306     6451.633838     -780.970298    -2232.827073     6451.634757     -780.960514     4745.269966     4906.619311     -791.521948     4721.885746     4930.802858     -781.015543     4721.885842     4930.802760     -781.015586     4722.151643     4930.555380     -780.970298     4722.151665     4930.555361     -780.970287     4795.936873     4853.273009     -814.700999     4721.866285     4930.828663     -780.970287     4721.866184     4930.828758     -780.970298    -3554.293303     5828.902796     -780.959937     4745.269792     4906.619284     -791.523157
5 Nov 2022 16:50:00.000    -2127.018734     6417.408032    -1229.290432    -2127.019941     6417.409479    -1229.280792     4740.520108     4817.549118    -1239.830275     4718.586062     4841.712089    -1229.332800     4718.586154     4841.711989    -1229.332843     4718.835549     4841.479692    -1229.290432     4718.835570     4841.479675    -1229.290421     4788.013289     4764.273657    -1262.978535     4718.555345     4841.752785    -1229.290421     4718.555245     4841.752880    -1229.290432    -3469.049068     5802.849154    -1229.280185     4740.519836     4817.549076    -1239.831480
5 Nov 2022 16:51:00.000    -2012.265513     6353.935501    -1672.153744    -2012.267155     6353.937469    -1672.144292     4714.787796     4707.156472    -1682.635129     4694.400968     4731.191917    -1672.193048     4694.401054     4731.191815    -1672.193092     4694.632940     4730.975629    -1672.153744     4694.632960     4730.975614    -1672.153734     4758.897123     4654.187659    -1705.650139     4694.359131     4731.247323    -1672.153734     4694.359032     4731.247417    -1672.153744    -3368.451079     5751.111189    -1672.143657     4714.787427     4707.156415    -1682.636325
